epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,74.7697,1.23798,1.1904,1.06467,0.70022,0.52552,0.63299,0.37019,1.37363,1.22915,1.19301,0.0001715,0.0001715,0.0001715
75,75.8309,1.22016,1.12428,1.05807,0.75032,0.52114,0.62848,0.37292,1.35921,1.21844,1.18263,0.000167,0.000167,0.000167
76,76.9123,1.21613,1.1909,1.04691,0.78889,0.50525,0.63092,0.36657,1.35721,1.19908,1.18177,0.0001625,0.0001625,0.0001625
77,77.9762,1.17653,1.15481,1.03652,0.81013,0.49503,0.63758,0.38435,1.35328,1.18349,1.17987,0.000158,0.000158,0.000158
78,78.9987,1.21311,1.23019,1.06633,0.81415,0.49851,0.64781,0.38187,1.35679,1.1742,1.17975,0.0001535,0.0001535,0.0001535
79,80.0112,1.17636,1.12147,1.04914,0.814,0.50342,0.64461,0.38081,1.36332,1.16248,1.18477,0.000149,0.000149,0.000149
80,81.0115,1.16918,1.15059,1.03272,0.83733,0.51728,0.64204,0.38021,1.35593,1.14783,1.19177,0.0001445,0.0001445,0.0001445
81,81.9985,1.16992,1.11546,1.02239,0.84461,0.506,0.64207,0.37855,1.35424,1.15663,1.1939,0.00014,0.00014,0.00014
82,83.0041,1.18262,1.13428,1.04853,0.81855,0.52952,0.66124,0.38944,1.34958,1.16689,1.19429,0.0001355,0.0001355,0.0001355
83,84.0224,1.14672,1.13695,1.02652,0.86277,0.47888,0.65805,0.38486,1.35254,1.16556,1.19423,0.000131,0.000131,0.000131
84,85.019,1.22478,1.16994,1.06081,0.87604,0.45125,0.65804,0.38729,1.36159,1.15854,1.19622,0.0001265,0.0001265,0.0001265
85,86.0117,1.19088,1.16638,1.04784,0.87725,0.44821,0.64706,0.37831,1.37504,1.166,1.20443,0.000122,0.000122,0.000122
86,87.0119,1.16374,1.12559,1.0406,0.72343,0.539,0.65556,0.37878,1.38223,1.17187,1.2033,0.0001175,0.0001175,0.0001175
87,88.0202,1.15654,1.12099,1.0314,0.71639,0.53523,0.65711,0.37763,1.38699,1.17397,1.20395,0.000113,0.000113,0.000113
88,89.0316,1.17965,1.12223,1.03108,0.85192,0.47961,0.65755,0.36729,1.39853,1.17324,1.20686,0.0001085,0.0001085,0.0001085
89,90.0357,1.17093,1.13859,1.03639,0.86617,0.46614,0.64746,0.37012,1.39477,1.16593,1.20495,0.000104,0.000104,0.000104
90,91.026,1.1689,1.09641,1.05304,0.86313,0.46615,0.64426,0.37055,1.38721,1.15811,1.19962,9.95e-05,9.95e-05,9.95e-05
91,113.207,1.14502,1.22244,1.0355,0.85523,0.47345,0.64506,0.37127,1.38724,1.14754,1.20181,9.5e-05,9.5e-05,9.5e-05
92,114.227,1.13304,1.17167,1.05119,0.86225,0.4663,0.62833,0.37024,1.38229,1.14236,1.2021,9.05e-05,9.05e-05,9.05e-05
93,115.208,1.14592,1.14442,1.04871,0.86603,0.45659,0.62544,0.36899,1.37991,1.16221,1.1998,8.6e-05,8.6e-05,8.6e-05
94,116.181,1.15883,1.1444,1.064,0.86448,0.45917,0.62447,0.36929,1.37964,1.17698,1.20262,8.15e-05,8.15e-05,8.15e-05
95,117.171,1.12202,1.16357,1.04161,0.86568,0.46711,0.623,0.37044,1.38282,1.18876,1.20353,7.7e-05,7.7e-05,7.7e-05
96,118.169,1.16202,1.14756,1.04934,0.84568,0.46757,0.6159,0.36952,1.38405,1.19736,1.2046,7.25e-05,7.25e-05,7.25e-05
97,119.127,1.14755,1.16372,1.0754,0.69425,0.57699,0.61687,0.36828,1.38372,1.20551,1.20301,6.8e-05,6.8e-05,6.8e-05
98,120.107,1.14698,1.16733,1.052,0.70901,0.58804,0.63204,0.38664,1.38681,1.20961,1.20644,6.35e-05,6.35e-05,6.35e-05
99,121.135,1.13407,1.12869,1.04716,0.71326,0.58021,0.63253,0.38715,1.39228,1.20762,1.2095,5.9e-05,5.9e-05,5.9e-05
100,122.15,1.1334,1.10775,1.04536,0.73529,0.5673,0.65057,0.39675,1.38523,1.19255,1.20451,5.45e-05,5.45e-05,5.45e-05
